Gene name	NCBI gene ID	KEGG Pathway and Enzyme ID
PSMB8	5696	
GTPBP4	23560	
CPAMD8	27151	
OAZ2	4947	
CPT1A	1374	00071+2.3.1.21
ARHGEF18	23370	
ARID3A	1820	
CPT1A	1374	
OXA1L	5018	
MYBPC3	4607	
AC119396.1		
COASY	80347	00770+2.7.1.24
CTAG1A	246100	
DUOXA1	90527	
TRIM49D2	729384	
GOLGA8F	100132565	
ASZ1	136991	
AC008878.3	23370	
GNPTG	84572	
HLA-DQB2	3120	
TRIM61	391712	
LRRC28	123355	
FAM218A	152756	
BHLHA9	727857	
PSMB9	5698	
CREB1	1385	
HMOX2	3163	00860+1.14.14.18
ESPN	83715	
F2RL3	9002	
INSL3	3640	
FAM92A	137392	
PTPN9	5780	
TAS2R40	259286	
TMEM273	170371	
TSR3	115939	
ZC3HAV1	56829	
DSC1	1823	
PDXK	105372824	00750+2.7.1.35
PDXK	8566	00750+2.7.1.35
CDH18	1016	
NDUFB3	4709	
RNASE11	122651	
MAD1L1	8379	
CRYBA2	1412	
RPS20	6224	
SMIM36		
GALNT15	117248	
ARHGEF19	128272	
PSAP	5660	
DUOX2	50506	
ATP6V1G2	534	
GSDMD	79792	
AC108941.2		
MCCD1	401250	
RNASE12	493901	
BX248516.1		
TDRD3	81550	
KIR2DL1	3802	
AL163195.3		
CCDC25	55246	
EFCAB6	64800	
TANGO2	128989	
TBC1D19	55296	
NIFK	84365	
DIS3	22894	
SULT1E1	6783	
DCAF15	90379	
ABCC6	368	
PODNL1	79883	
C10orf71	118461	
SLC9B1	150159	
DRGX	644168	
NTHL1	4913	
AC093512.2	112694756	
OR5T2	219464	
KRTAP17-1	83902	
KRTAP16-1	100505753	
RAB37	326624	
KCND1	3750	
ORC2	4999	
FOXO4	4303	
TRARG1	286753	
CFAP65	255101	
WIZ	58525	
SLC4A1	6521	
RALGAPB	57148	
SNUPN	10073	
CISD2	493856	
RBM12B	389677	
SNX4	8723	
CTAG1B	1485	
VSIG4	11326	
KIAA0355	9710	
FAM155A	728215	
NPY	4852	
AC093512.2	112694756	00680+4.1.2.13
AC093512.2	112694756	00051+4.1.2.13
AC093512.2	112694756	00030+4.1.2.13
AC093512.2	112694756	00010+4.1.2.13
AC093512.2	112694756	00710+4.1.2.13
ADORA2B	136	
NMRAL1	57407	
PIBF1	10464	
GLYR1	84656	
IL2RG	3561	
SNRNP200	23020	
TMC4	147798	
SFRP4	6424	
EPDR1	54749	
AL590764.2		
ZNF555	148254	
CXorf65	158830	
FAM136A	84908	
EIF4G2	1982	
C20orf27	54976	
PLXNA4	91584	
INTU	27152	
LRRC10B	390205	
FGF20	26281	
MYCBP2	23077	
GPR141	353345	
METTL26	84326	
SFTA2	389376	
AGTR1	185	
XYLB	9942	
UFM1	51569	
FAM126B	285172	
STYXL1	51657	
CPS1	1373	00240+6.3.5.5
CPS1	1373	00250+6.3.5.5
TET3	200424	
TH	7054	00790+1.14.16.2
TH	7054	00350+1.14.16.2
TH	7054	00950+1.14.16.2
BET1L	51272	
HLA-DOB	3112	
SPI1	6688	
JAK3	3718	04660+2.7.10.2
ANOS1	3730	
PDXK	105372824	
PDXK	8566	
BORA	79866	
LIG4	3981	
MGMT	4255	
MUC21	394263	
C5orf15	56951	
PBK	55872	
IQCM	285423	
SCGB1C1	147199	
TH	7054	
TRIM64	120146	
EDAR	10913	
TMEM100	55273	
CLN5	1203	
NME8	51314	00983+2.7.4.6
NME8	51314	00240+2.7.4.6
NME8	51314	00230+2.7.4.6
LRRN4	164312	
NME8	51314	
EIF1AD	84285	
MSANTD1	345222	
ZC3H12C	85463	
CD300LF	146722	
ODF3	113746	
HOXA13	3209	
DDX52	11056	
PCOLCE	5118	
CDH6	1004	
POLDIP2	26073	
IZUMO1R	390243	
EMD	2010	
AP1AR	55435	
CRYL1	51084	
OR5T3	390154	
SLC25A37	51312	
PKD1	5310	
OR5T1	390155	
HRASLS5	117245	
C16orf87	388272	
HLA-DRB3	3125	
POTED	317754	
OR8H1	219469	
SAP25	100316904	
BANF1	8815	
ALDOA	226	00680+4.1.2.13
ALDOA	226	00051+4.1.2.13
ALDOA	226	00030+4.1.2.13
ALDOA	226	00010+4.1.2.13
ALDOA	226	00710+4.1.2.13
PROK2	60675	
TNFAIP1	7126	
RNASE7	84659	
EVX1	2128	
GPR83	10888	
FBXO24	26261	
IL1R1	3554	
ARFGEF2	10564	
NKX3-1	4824	
CRYL1	51084	00650+4.2.1.17+1.1.1.35
CRYL1	51084	00071+4.2.1.17+1.1.1.35
CRYL1	51084	00650+5.1.2.3+4.2.1.17+1.1.1.35
CRYL1	51084	00627+4.2.1.17
CRYL1	51084	00280+4.2.1.17+1.1.1.35
CRYL1	51084	00120+1.1.1.35
CRYL1	51084	00281+4.2.1.17+1.1.1.35
CRYL1	51084	00720+4.2.1.17+1.1.1.35
CRYL1	51084	00071+5.1.2.3+4.2.1.17+1.1.1.35
CRYL1	51084	00310+4.2.1.17+1.1.1.35
CRYL1	51084	00360+4.2.1.17
CRYL1	51084	00930+4.2.1.17+1.1.1.35
CRYL1	51084	00640+4.2.1.17
CRYL1	51084	00592+4.2.1.17
CRYL1	51084	00623+1.1.1.35
CRYL1	51084	00410+4.2.1.17
CRYL1	51084	00903+4.2.1.17
CRYL1	51084	00062+4.2.1.17+1.1.1.35
CRYL1	51084	00362+4.2.1.17+1.1.1.35
CRYL1	51084	00380+4.2.1.17+1.1.1.35
LILRA2	11027	
LYPD6B	130576	
SLC36A4	120103	
KPNA4	3840	
XYLB	9942	00561+2.7.1.30
NKAP	79576	
DUOX1	53905	
NRTN	4902	
HLA-DQA2	3118	
HLA-DQA2	3117	
TP53TG3C	102724127	
TP53TG3C	102724101	
TP53TG3C	102723713	
TP53TG3C	102723655	
TP53TG3C	653550	
KIR2DS2	100132285	
SH3RF3	344558	
LIMS2	55679	
DEFB108B	245911	
SOX1	6656	
SPDYE16	102723555	
KIZ	55857	
AKR1C3	8644	
ZNF219	51222	
SLC26A8	116369	
ANXA5	308	
AKAP14	158798	
EPHB1	2047	
DUOXA2	405753	
ATG4A	115201	
PDCD10	11235	
THAP9	79725	
OSBPL11	114885	
TSC22D2	9819	
SCG3	29106	
COL11A2	1302	
LGR4	55366	
TMEM253	643382	
GCSAM	257144	
LRCH4	4034	
HLA-DRB1	3123	
TNNC1	7134	
CH25H	9023	
C6orf15	29113	
KIR2DL2	3803	
ZFP57	346171	
PCTP	58488	
SHF	90525	
SPACA7	122258	
C3orf52	79669	
TPPP2	122664	
PIGA	5277	00563+2.4.1.198
DLGAP1	9229	
NR1D1	9572	
RNASE8	122665	
PIAS2	9063	
KIR3DL3	115653	
PLEKHG5	57449	
AL592490.1		
NISCH	11188	
PIGA	5277	
PCDH20	64881	
BAG4	9530	
TRIM60	166655	
ETV4	2118	
PUF60	22827	
FERMT1	55612	
YWHAE	7531	
LTBP1	4052	
CTAG2	30848	
TRIM49C	642612	
ELOA2	51224	
KY	339855	
ELOA3C	107983955	
ELOA3B	728929	
ELOA3D	100506888	
HLA-DMA	3108	
CHL1	10752	
DHX8	1659	
STAR	6770	
SRSF6	6431	
DYNC1LI2	1783	
DCLK2	166614	
TUBA8	51807	
SLC39A13	91252	
ATXN2L	11273	
KATNAL2	83473	
LSM1	27257	
ZPLD1	131368	
HSF4	3299	
MCM5	4174	
ERCC6	267004	
ERCC6	2074	
HLA-DMB	3109	
DHRS11	79154	
TP53TG3E	102724101	
TP53TG3E	102723655	
OR8K3	219473	
PSORS1C1	170679	
OR8K1	390157	
OR8J1	219477	
XPC	7508	
GNE	10020	
CDSN	1041	
ARMH3	79591	
TUBB8P12	260334	
TRPA1	8989	
PSORS1C2	170680	
NKX2-6	137814	
RALGPS1	9649	
SYT8	90019	
MOCS3	27304	
LGALS12	85329	
ELOA3	162699	
MRPS17	51373	
MSC	9242	
RPS3	6188	
AC092647.5		
STC1	6781	
POMZP3	22932	
SHOC2	8036	
ZNF713	349075	
KLHL29	114818	
TRIM75P		
POM121	9883	
EIF2A	83939	
TP53TG3B	102724127	
TP53TG3B	102724101	
TP53TG3B	102723713	
TP53TG3B	102723655	
TP53TG3B	729355	
PEX26	55670	
EML6	400954	
TMEM43	79188	
DNAL4	10126	
PIGL	9487	
TRIM27	5987	
ANGPTL2	23452	
NIPSNAP2	2631	
ATAT1	79969	
OR8U8	504189	
TP53TG3F	102724127	
TP53TG3F	102723655	
STK33	65975	
DEFB125	245938	
CLTA	1211	
ASH2L	9070	
IFT27	11020	
GNAI2	2771	
KCNG1	3755	
AC074143.1		
MAEA	10296	
RDX	5962	
AC090004.1		
ALPK1	80216	
PSTPIP1	9051	
FUT6	2528	
BAIAP3	8938	
RUNDC3A	10900	
STARD3	10948	
TRADD	8717	
DEFB131B	100129216	
LSM3	27258	
AP002495.1		
EBF3	253738	
FBXL8	55336	
SLC35B3	51000	
TIFA	92610	
LSM2	57819	
ZBTB21	49854	
BOLA3	388962	
SIRPD	128646	
ARL14	80117	
BEND7	222389	
SPATA31A7	26165	
UNKL	64718	
FREM2	341640	
POTEA	340441	
TNFRSF25	8718	
ARHGAP27	201176	
FUT3	2525	
SELENOT	51714	
IFIT1B	439996	
MSI2	124540	
NDUFV1	4723	
SIRPB1	10326	
SLC25A38	54977	
KIF1B	23095	
VEGFD	2277	
PPM1L	151742	04658+3.1.3.16
PPM1L	151742	04660+3.1.3.16
KLHL2	11275	
SERP1	27230	
OR8U9	504190	
ERCC4	2072	
DEFB126	81623	
PTPRD	5789	
AL049634.2		
TAS2R7	50837	
NGLY1	55768	
TAP2	6891	
ZSCAN25	221785	
ABHD13	84945	
SERF1B	728492	
SERF1B	8293	
GK3P		00561+2.7.1.30
RBPMS2	348093	
ZNF556	80032	
LILRA1	11024	
UROS	7390	00860+4.2.1.75
KIF1C	10749	
TCAP	8557	
GPR119	139760	
WDR18	57418	
ABHD16B	140701	
TMEM192	201931	
SPEF1	25876	
MPP6	51678	
HPS6	79803	
OXSM	54995	
SEC31A	22872	
KIR2DP1		
C21orf62	56245	
FOXR1	283150	
RYBP	23429	
MRPL21	219927	
ITPRIPL1	150771	
CHGA	1113	
TMEM170B	100113407	
LIPA	3988	
PDGFC	56034	
GPR17	2840	
MICU3	286097	
OR9G1	390174	
OR9G9	504191	
TXNRD3	645840	
TXNRD3	114112	
VIM	7431	
TAS2R8	50836	
CYP51A1	1595	
MPP6	51678	00230+2.7.4.8
ATP2A3	489	
IFIT1	3434	
GTF2H2	728340	
GTF2H2	2966	
TGFA	7039	
DEFB127	140850	
NOL6	65083	
SUN2	25777	
LRRD1	401387	
TAS2R9	50835	
MAP3K2	10746	
HLA-DQB1	3119	
OR9G4	283189	
ZNF732	654254	
EBAG9	9166	
C10orf143	387723	
DEFB128	245939	
AC000120.2		
GAPDH	2597	00010+1.2.1.12
GAPDH	2597	00710+1.2.1.12
IFIT3	3437	
LY6L	101928108	
SLC38A7	55238	
DEFB129	140881	
IFIT2	3433	
MAGEA10	4109	
GSAP	54103	
GAPDH	2597	
LYPD6	130574	
RP9	6100	
TAS2R46	259292	
TAS2R30	259293	
TAS2R31	259290	
HIBADH	11112	00280+1.1.1.31
REG3A	5068	
PRKCI	5584	04070+2.7.11.13
HIBADH	11112	
TNFSF9	8744	
UBTFL1	642623	
CAMK1	8536	
PRR4	11272	
PRR4	5554	
CNTNAP3C	100289279	
FGL2	10875	
POLM	27434	00240+2.7.7.7
POLM	27434	00230+2.7.7.7
AC037459.1		
CORO2B	10391	
MUCL3	135656	
APOM	55937	
LRRTM1	347730	
AARD	441376	
POLM	27434	
ARPC4-TTLL3	100526693	
RARRES3	5920	
NDUFA11	126328	
GTPBP1	9567	
SNTG2	54221	
GAB3	139716	
HRASLS2	54979	
PTPN2	5771	
TAS2R20	259295	
TAS2R50	259296	
TEX45	374877	
TAS2R14	106707243	
TAS2R14	50840	
TAS2R43	259291	
TAS2R43	259289	
TAS2R10	50839	
AC024592.3		
TAS2R19	259294	
CCDC146	57639	
TAS2R13	50838	
LST1	7940	
PLA2G16	11145	
FUT5	2527	
LDB1	8861	
SUB1	10923	
TXNRD3	645840	00450+1.8.1.9
TXNRD3	114112	00450+1.8.1.9
VDAC1	7416	
FAH	2184	00350+3.7.1.2
FAH	2184	00643+3.7.1.2
EGR2	1959	
PRH2	5555	
MED24	9862	
PEX11G	92960	
ARPC4	10093	
ZNF141	7700	
ADGRA1	84435	
JAK2	3717	04660+2.7.10.2
XAGE2	9502	
JAK2	3717	
ZNF358	140467	
OR5G3		
AC008878.1		
SOX14	8403	
DEFB132	400830	
WFS1	7466	
KIAA2026	158358	
CALR	811	
ADTRP	84830	
CASD1	64921	
NRBF2	29982	
MLX	6945	
RTN4RL1	146760	
INSL6	11172	
CRCP	27297	
ZNF516	9658	
ASCL2	430	
TNKS	8658	
C16orf74	404550	
CU464060.1	100132285	
MDH2	4191	
SYT7	9066	
XAGE1A	653220	
MBOAT7	79143	
KIR2DS5	3810	
NCR3	259197	
CTNNA2	1496	
PDCD6	10016	
PEG10	23089	
SLC4A2	6522	
GPT2	84706	
AC068533.4		00250+4.3.2.1
AC068533.4		00220+4.3.2.1
C2orf91	400950	
FAH	2184	
MLANA	2315	
CMPK2	129607	00983+2.7.4.14+2.7.4.6
CMPK2	129607	00240+2.7.4.14+2.7.4.6
CMPK2	129607	00230+2.7.4.6
APLP2	334	
KIR2DL5B	553128	
GOLGA6L22	440243	
PEX2	5828	
XAGE1B	653067	
RSAD2	91543	
TPO	7173	00350+1.11.1.8
MAP7D2	256714	
KIR2DL3	3804	
MDH2	4191	00020+1.1.1.37
MDH2	4191	00720+1.1.1.37
MDH2	4191	00620+1.1.1.37
MDH2	4191	00680+1.1.1.37
MDH2	4191	00270+1.1.1.37
MDH2	4191	00630+1.1.1.37
MDH2	4191	00710+1.1.1.37
PSMC3IP	29893	
LY6H	4062	
MOB1A	55233	
REEP3	221035	
CENPK	64105	
RBPMS	11030	
NINJ2	4815	
CLDN18	51208	
PDLIM2	64236	
DPH3	285381	
GATD1	347862	
CCNF	899	
ANKFN1	162282	
HSPA1L	3305	
ZNF100	163227	
KRIT1	889	
PRRC2A	7916	
RHOXF2B	727940	
AHRR	57491	
AC104532.1		
VMAC	400673	
XRN2	22803	
TP53TG3D	102724127	
TP53TG3D	102724101	
TP53TG3D	102723713	
TP53TG3D	102723655	
TP53TG3D	729264	
RHOXF2	84528	
RHOXF1	158800	
SPERT	220082	
MAF	4094	
CAPS	828	
NCOR1	9611	
MRM2	29960	
EFCC1	79825	
THRA	7067	
TAX1BP1	8887	
AC000120.3		
ABHD16A	7920	
RAD23A	5886	
CLEC10A	10462	
JMJD1C	221037	
THOC1	9984	
ATL3	25923	
PNLIPRP1	5407	00561+3.1.1.3
ACAD9	28976	
MRPL39	54148	00970+6.1.1.3
HSPA1A	3303	
HSPA1B	3304	
DSG4	147409	
CBFA2T3	863	
ASPN	54829	
PKIA	5569	
TNFSF13B	10673	
GADD45GIP1	90480	
SLCO2A1	80111	
SLCO2A1	6578	
UROS	7390	
ADORA2A	135	
PIF1	80119	
CAMK4	814	
C8orf58	541565	
DSG1	1828	
HES1	3280	
PKDCC	91461	
ANKRD49	54851	
GLRB	2743	
PNLIPRP1	5407	
ALCAM	214	
CPA3	1359	
FKBP15	23307	
CDH12	1010	
GABRA3	2556	
PIR	8544	
SPECC1L-ADORA2A		
SLC31A2	1318	
OGG1	4968	
POLD3	10714	
AP2A2	161	
TMEM106B	54664	
IL1RL2	8808	
MUC20	200958	
ASL	435	00250+4.3.2.1
ASL	435	00220+4.3.2.1
USP14	9097	
AL445989.1	112267897	
TTC19	54902	
ADRA2A	150	
RANBP3	8498	
CPB1	1360	
BDH2	56898	
COX4I1	1327	
RBMX2	51634	
SPECC1L	23384	
TAF3	83860	
OTOR	56914	
USP25	29761	
NAALAD2	10003	
KIAA1257	57501	
CENPV	201161	
BMX	660	04660+2.7.10.2
C20orf96	140680	
CENPV	201161	00680+4.4.1.22
SIAH3	283514	
LGALS9C	654346	
JAZF1	221895	
NEK4	6787	
LIPT2	387787	00785+2.3.1.181
EMC8	10328	
LIPT2	387787	
PTPN13	5783	
IGHMBP2	3508	
GATAD2B	57459	
SLC37A4	2542	
UPB1	51733	
SEMA6A	57556	
STIM1	6786	
SHQ1	55164	
NT5DC2	64943	
TSEN34	79042	
NRM	11270	
ZNF43	7594	
RPS25	6230	
OR6S1	341799	
EMSY	56946	
DEUP1	159989	
ZC3H13	23091	
OXCT1	5019	
RASAL3	64926	
HLA-A	3105	
SLC9B2	133308	
SEPT10	151011	
LCOR	84458	
MOS	4342	
MCTS2P		
FIGN	55137	
PLAG1	5324	
CDK5	1020	
MRE11	4361	
TTLL3	26140	
HS3ST2	9956	
DLGAP2	9228	
RNASE4	6038	
TRIM74	378108	
ZNF57	126295	
DAND5	199699	
ADAM7	8756	
CPN2	1370	
KIF26B	55083	
ANG	283	
PTK2	5747	04660+2.7.10.2
AL163636.2		
ARHGAP24	83478	
AL445238.1	647264	
ZSWIM7	125150	
TRAPPC4	51399	
NOG	9241	
HPX	3263	
NPR3	4883	
RPL18A	6142	
ANKRD29	147463	
KIAA1217	56243	
DYNLRB2	83657	
KIR3DL1	3811	
ITPK1	3705	00562+2.7.1.134+2.7.1.159
ITPK1	3705	04070+2.7.1.159
DGKE	8526	00561+2.7.1.107
DGKE	8526	04070+2.7.1.107
DGKE	8526	00564+2.7.1.107
FAM9A	171482	
CPB2	1361	
GSDME	1687	
LRRC15	131578	
HDAC8	55869	
SPART	23111	
GP5	2814	
DDR1	780	
IFT88	8100	
CCDC84	338657	
EML4	27436	
FAM9B	171483	
DKC1	1736	
DNAJA2	10294	
TRIM25	7706	
MAP3K20	51776	
ZNF721	170960	
PTK2	5747	
TDRD7	23424	
HLA-F	3134	
TMEM50B	757	
KIR2DL4	3805	
C17orf67	339210	
ZNF311	282890	
IFNGR2	3460	
ADAM28	10863	
DZIP1L	199221	
USP31	57478	
PTCHD3	374308	
CSTB	1476	
RYK	6259	
ZCCHC3	85364	
CHCHD7	79145	
ATAD2B	54454	
B4GALNT2	124872	
RPUSD3	285367	
SSX2B	727837	
SLMAP	7871	
ZC2HC1A	51101	
FKBP7	51661	
TMC5	79838	
GOT2	2806	00360+2.6.1.1
GOT2	2806	00960+2.6.1.1
GOT2	2806	00400+2.6.1.1
GOT2	2806	00270+2.6.1.1
GOT2	2806	00330+2.6.1.1
GOT2	2806	00220+2.6.1.1
GOT2	2806	00250+2.6.1.1
GOT2	2806	00350+2.6.1.1
GOT2	2806	00710+2.6.1.1
GOT2	2806	00950+2.6.1.1
GOT2	2806	00401+2.6.1.1
ACO1	48	00290+4.2.1.33
ACO1	48	00630+4.2.1.3
ACO1	48	00720+4.2.1.3
ACO1	48	00020+4.2.1.3
NRSN2	80023	
AL133500.1		
PIN4	5303	
ZNF462	58499	
SOX12	6666	
IL7	3574	
FSD2	123722	
GKAP1	80318	
BAG6	7917	
GOT2	2806	
PRAMEF9	343070	
ZNF77	58492	
HLA-G	3135	
VPS28	51160	
SSX2	6757	
HM13	81502	
PRAMEF25	645359	
PRAMEF25	441873	
HNRNPCL2	440563	
RGMA	56963	
PRAMEF18	653606	
PRAMEF18	391003	
NOL8	55035	
HNRNPCL4	101060301	
CITED1	4435	
SSX7	280658	
ODAPH	152816	
CHCHD3	54927	
UBXN2A	165324	
TUBA3E	112714	
ADAMDEC1	27299	
IL18R1	8809	
KCTD14	65987	
MYO16	23026	
NDUFC2-KCTD14	100532726	
TSN	7247	
MMADHC	27249	
FLOT1	10211	
NLGN2	57555	
CDYL	9425	
THRSP	7069	
RIC8A	60626	
KANSL1	284058	
RPS4X	6191	
FAM71F2	346653	
BRD2	6046	
SMN2	6607	
SMN2	6606	
NDUFC2	4718	
AKAP13	11214	
ERCC6L	54821	
JAM2	58494	
FN3KRP	79672	
KIF27	55582	
OR4C46	119749	
TTC26	79989	
SRRM3	222183	
CDKL2	8999	
FGF11	2256	
TADA3	10474	
IL1RL1	9173	
DPYS	1807	
PIGN	23556	
GRB14	2888	
PRAMEF5	343068	
RAB34	83871	
ABI3	51225	
ZNRD1	30834	
GGCX	2677	00130+4.1.1.90
SPEM1	374768	
SLC26A3	1811	
UBXN7	26043	
RPL10	6134	
MRGPRD	116512	
PRAMEF8	391002	
SPEM3	107983988	
PPRC1	23082	
TMEM102	284114	
DCSTAMP	81501	
GGCX	2677	
PCSK2	5126	
GLRX3	10539	
GNGT2	2793	
TPD52L2	7165	
MSMO1	6307	
LIPI	149998	
ECM2	1842	
STOML3	161003	
SLC30A8	169026	
ATP5PF	522	
MAT2A	4144	00270+2.5.1.6
MRGPRF	116535	
RFX1	5989	
C1QTNF7	114905	
FAM151B	167555	
CENPP	401541	
PSMD13	5719	
RGCC	28984	
CYP3A5	1577	00982+1.14.14.1
CYP3A5	1577	00380+1.14.14.1
CYP3A5	1577	00590+1.14.14.1
CYP3A5	1577	00071+1.14.14.1
CYP3A5	1577	00830+1.14.14.1
CYP3A5	1577	00627+1.14.14.1
CYP3A5	1577	00232+1.14.14.1
CYP3A5	1577	00591+1.14.14.1
CYP3A5	1577	00140+1.14.14.1
CYP3A5	1577	00980+1.14.14.1
SLC9A3	6550	
SBSPON	157869	
OMD	4958	
CHSY1	22856	
ENGASE	64772	
HIVEP1	3096	
CHRNB1	1140	
TLE6	79816	
LY6G6F-LY6G6D	110599563	
SLC25A31	83447	
LY6G6E		
MEF2A	4205	
ENGASE	64772	00511+3.2.1.96
CCNA1	8900	
LY6G6D	110599563	
LY6G6D	58530	
PRPF4	9128	
SPEM2	201243	
LY6G6F	259215	
TERF1	7013	
OGN	4969	
PLPPR3	79948	
CYP3A5	1577	
SLC31A1	1317	
EXOC3	11336	
SLIT2	9353	
IER3IP1	51124	
ANKRD34B	340120	
KCNB2	9312	
SKIL	6498	
GOLGA8G	283768	
FDX1	2230	
SIRT3	23410	
AZU1	566	
PRAMEF33	645382	
CDC26	246184	
EDDM3A	10876	
IPPK	64768	04070+2.7.1.158
IPPK	64768	00562+2.7.1.158
SLC52A1	55065	
C5orf51	285636	
EDDM3B	64184	
GABPA	2551	
RFTN1	23180	
HDHD2	84064	
SDR16C5	195814	
MT4	84560	
GPAM	57678	00564+2.3.1.15
GPAM	57678	00561+2.3.1.15
IRS2	8660	
TAZ	6901	
MROH6	642475	
LYSMD4	145748	
PGLYRP2	114770	
MT3	4504	
MMEL1	79258	
RGS12	6002	
AC012254.2		
PLEKHA3	65977	
RNF144A	9781	
OR2W1	26692	
OR2B3	442184	
RNASE6	6039	
AMOTL2	51421	
OR13A1	79290	
FBXO4	26272	
OR2J3	442186	
CPEB2	132864	
MFSD2B	388931	
LCP1	3936	
AL157392.5		
FKBP1B	2281	
GRIN3B	116444	
GP9	2815	
STARD3NL	83930	
LILRA6	79168	
VWA8	23078	
MT2A	4502	
PENK	5179	
RRP1	8568	
WDCP	80304	
CPE	1363	
GATA3	2625	
WHAMM	123720	
ALOX5	240	
WNK1	65125	05165+2.7.11.1
WNK1	65125	04150+2.7.11.1
WNK1	65125	04926+2.7.11.1
WNK1	65125	04714+2.7.11.1
WNK1	65125	04151+2.7.11.1
TMEM259	91304	
TRGC1	445347	
MED30	90390	
TRGV3		
TRGJP1		
TRGV8		
TRGJP2		
TRGV10		
PBRM1	55193	
TRGV2		
TRGJ2		
WNK1	65125	
TRGV5		
SELENOS	55829	
TRGV1		
TRGJ1		
UMODL1	89766	
OXNAD1	92106	
TRGJP		
TRGV4		
TRGV11		
OR2J2	26707	
TRGV9		
PRPF18	8559	
TRGC2		
DDX58	23586	
RLN3	117579	
PRXL2B	127281	
HSPB1	3315	
IMP4	92856	
LILRB3	107987462	
LILRB3	107987425	
LILRB3	102725035	
LILRB3	11025	
RANBP1	5902	
MITF	4286	
KNDC1	85442	
LILRB1	10859	
OR4A8		
PCDH9	5101	
SOWAHC	65124	
TTC34	100287898	
EIF4G3	8672	
FRMD4A	55691	
PPP1R27	116729	
OR14J1	442191	
NFIX	4784	
TMEM92	162461	
DNASE1L1	1774	
AL845331.2	100509620	
AC115220.1		
DHODH	1723	00240+1.3.5.2
DHODH	1723	
